problem,name,quantile,price_model,plan_cost,emergency_cost,total_cost,emergency_kwh,events,throughput,terminal_soc,violations,daily_q95,daily_max
Q4-2,Q2_empirical_quantile,0.7,HistGB_XGB_fallback,13669281.240111765,1234469.0572487589,14903750.297360523,193720.6823646627,389,11834014.525071621,6828.886242487114,0,74275.19910430127,119895.29304697417
Q4-2,Q2_empirical_quantile,0.75,HistGB_XGB_fallback,13886650.857437445,890785.0655538122,14777435.922991257,138453.09747429824,313,11760470.820471361,6922.22933465802,0,74511.21443015056,114592.88913572687
Q4-2,Q2_empirical_quantile,0.8,HistGB_XGB_fallback,14128327.70331084,605428.4575182836,14733756.160829125,93421.22509052795,243,11657901.019639947,7009.187408937216,0,74810.29879557679,108768.00687494734
Q4-2,Q2_empirical_quantile,0.85,HistGB_XGB_fallback,14420289.808501331,379049.65878401574,14799339.467285348,58326.258167166336,188,11511340.656657798,7120.823599129621,0,75466.09981664647,100939.68861586586
Q4-2,Q2_empirical_quantile,0.9,HistGB_XGB_fallback,14791233.704562902,214015.56544611833,15005249.270009022,33363.5334141189,118,11309272.51850994,7267.276832008693,0,75918.62177263864,92156.19617452755
Q4-2,Q2_empirical_quantile,0.95,HistGB_XGB_fallback,15346451.527322637,121360.99461370875,15467812.521936346,18941.08271688165,64,11014676.068625744,7394.15300774685,0,76885.90761414869,80391.70944750596
