experiment_group,problem,name,scenario,risk_lambda,alpha,plan_cost,emergency_cost,total_cost,emergency_kwh,events,throughput,terminal_soc,violations,daily_q95,daily_max,runtime_s,pv_updates,price_updates,adjustment_cost,adjustment_kwh,quantile,price_model,model,MAE,RMSE,bias,q95_abs_error,method,status,fallback
economic,Q4-2,CVaR,joint_block,0.02,0.99,13538364.163657278,1622982.7708666394,15161346.934523916,260899.66534424797,401,11916796.275748145,6745.481174289027,0,74226.41271533266,130011.29134879076,42.83330369999749,,,,,,,,,,,,,,
economic,Q4-2,CVaR,joint_block,0.1,0.99,13807722.38440258,1264360.1663565508,15072082.550759131,208223.69605661655,382,12017000.836103654,6811.2575758775965,0,74954.44270363764,127731.67745557684,53.64628289999382,,,,,,,,,,,,,,
economic,Q4-2,CVaR,joint_block,0.3,0.99,14167194.678016834,872788.5179046629,15039983.195921497,147588.84766496468,331,11757456.039411698,6812.8198408935805,0,74781.98297257003,112466.07437645132,49.933362800002214,,,,,,,,,,,,,,
economic,Q4-3,deterministic_dynamic_price,joint_block,0,0.95,13238074.903842578,2812903.559969332,16883288.05706628,538967.8029413035,767,12136755.338329135,6039.955648519751,0,85739.69868795986,99550.34183244841,39.863562500002445,True,True,832309.5932543701,1584735.7310645096,,,,,,,,,,
economic,Q4-3,stochastic_dynamic_price,independent,0,0.95,13559471.897453634,416359.22527138254,14502771.36805278,74919.16452431475,348,12143749.31373853,6877.742375055451,0,73032.95803574435,80302.87266570803,130.12711649999983,True,True,526940.2453277638,1478332.300747703,,,,,,,,,,
economic,Q4-3,stochastic_dynamic_price,joint_block,0,0.95,13393518.674185647,405886.43312797986,14388024.612782434,73703.79781844225,366,12050300.039112896,6915.571395625099,0,72980.1655066962,82166.88248473287,124.42200620000222,True,True,588619.5054688071,1546375.2688185102,,,,,,,,,,
economic,Q4-3,risk_aware_MPC,joint_block,0.02,0.95,13427335.290173382,380640.8434124234,14377768.343217334,68919.87414139559,352,12047599.822248671,6915.5713956251,0,72923.60265411976,82454.86737991647,140.86060250000446,True,True,569792.2096315285,1534723.6392124968,,,,,,,,,,
economic,Q4-3,risk_aware_MPC,joint_block,0.1,0.95,13586901.891297292,339376.38888625515,14414371.157958241,60838.95655978461,325,12018904.152022656,6962.120362956357,0,72926.23896030044,82604.55443049232,125.07986949999759,True,True,488092.8777746924,1556601.3599979216,,,,,,,,,,
economic,Q4-3,risk_aware_MPC,joint_block,0.3,0.95,13797813.031964993,254315.5640302071,14571504.191956894,46441.432890709846,281,11982774.580275733,6923.835922049088,0,72917.38629941123,77503.71737212845,128.89914309999585,True,True,519375.5959616949,1855849.7255773526,,,,,,,,,,
economic,Q4-3,information_ablation,joint_block,0,0.95,13395788.203584462,543136.1058097925,14488502.124008648,98494.4882678602,382,11900436.75163996,6924.1576570154575,0,72418.51302762442,85340.91987321354,135.46936170000117,False,False,549577.8146143928,679834.5290040426,,,,,,,,,,
economic,Q4-3,information_ablation,joint_block,0,0.95,13393567.580972284,405945.8187382087,14387152.62966906,73712.28618105131,367,12052874.487838749,6915.571395625099,0,72978.0386170782,82212.78750444316,119.16833230000339,True,False,587639.2299585672,1546399.1783502114,,,,,,,,,,
economic,Q4-3,information_ablation,joint_block,0,0.95,13395679.12218308,542746.1689830284,14488671.531761598,98496.74182287467,381,11896715.099683214,6924.183493202103,0,72420.36715383969,85383.06064592302,132.67511360000208,False,True,550246.2405954873,679574.2494377609,,,,,,,,,,
economic,Q4-3,information_ablation,joint_block,0,0.95,13393518.674185647,405886.43312797986,14388024.612782434,73703.79781844225,366,12050300.039112896,6915.571395625099,0,72980.1655066962,82166.88248473287,123.25120149999566,True,True,588619.5054688071,1546375.2688185102,,,,,,,,,,
q42_quantile,Q4-2,Q2_empirical_quantile,,,,13669281.240111765,1234469.0572487589,14903750.297360523,193720.6823646627,389,11834014.525071621,6828.886242487114,0,74275.19910430127,119895.29304697417,,,,,,0.7,HistGB_XGB_fallback,,,,,,,,
q42_quantile,Q4-2,Q2_empirical_quantile,,,,13886650.857437445,890785.0655538122,14777435.922991257,138453.09747429824,313,11760470.820471361,6922.22933465802,0,74511.21443015056,114592.88913572687,,,,,,0.75,HistGB_XGB_fallback,,,,,,,,
q42_quantile,Q4-2,Q2_empirical_quantile,,,,14128327.70331084,605428.4575182836,14733756.160829125,93421.22509052795,243,11657901.019639947,7009.187408937216,0,74810.29879557679,108768.00687494734,,,,,,0.8,HistGB_XGB_fallback,,,,,,,,
q42_quantile,Q4-2,Q2_empirical_quantile,,,,14420289.808501331,379049.65878401574,14799339.467285348,58326.258167166336,188,11511340.656657798,7120.823599129621,0,75466.09981664647,100939.68861586586,,,,,,0.85,HistGB_XGB_fallback,,,,,,,,
q42_quantile,Q4-2,Q2_empirical_quantile,,,,14791233.704562902,214015.56544611833,15005249.270009022,33363.5334141189,118,11309272.51850994,7267.276832008693,0,75918.62177263864,92156.19617452755,,,,,,0.9,HistGB_XGB_fallback,,,,,,,,
q42_quantile,Q4-2,Q2_empirical_quantile,,,,15346451.527322637,121360.99461370875,15467812.521936346,18941.08271688165,64,11014676.068625744,7394.15300774685,0,76885.90761414869,80391.70944750596,,,,,,0.95,HistGB_XGB_fallback,,,,,,,,
price_forecast,,,,,,,,,,,,,,,,0.00047169999743346125,,,,,,,persistence,0.3498832002661344,0.46508635204509724,-0.3293209331337325,0.8854,,,
price_forecast,,,,,,,,,,,,,,,,0.0001508999994257465,,,,,,,previous_day,0.08432593978709249,0.12383718140836511,-0.0005953551230871593,0.2956,,,
price_forecast,,,,,,,,,,,,,,,,0.00015910000365693122,,,,,,,previous_week_same_time,0.04715118305056554,0.06534801504178886,-0.00015473843978709224,0.12390000000000001,,,
price_forecast,,,,,,,,,,,,,,,,0.0013710999992326833,,,,,,,moving_average_7,0.08266928345689574,0.1052650947390656,-0.00032801420967588577,0.2192821428571429,,,
price_forecast,,,,,,,,,,,,,,,,0.11945209999976214,,,,,,,exponential_smoothing,0.08932330080476471,0.11491295185117696,-0.0004975473276238726,0.2388995314682474,,,
price_forecast,,,,,,,,,,,,,,,,0.06664520000049379,,,,,,,ARIMA_curve,0.0814950803788074,0.1118514382382899,0.007078817166792628,0.24776187547363773,,,
price_forecast,,,,,,,,,,,,,,,,0.1726115999990725,,,,,,,SARIMA_curve,0.045661676027081294,0.06220981542798511,-0.005600137041241541,0.12107162348450146,,,
price_forecast,,,,,,,,,,,,,,,,0.2773942999992869,,,,,,,Fourier,0.06621295680364621,0.08605336806001872,-0.004465023571127445,0.17551875041771547,,,
price_forecast,,,,,,,,,,,,,,,,0.6998784000024898,,,,,,,Fourier_AR,0.06620171476385127,0.08616776576917896,-0.004360517991179045,0.17595357732680994,,,
price_forecast,,,,,,,,,,,,,,,,0.2770791000002646,,,,,,,Prophet_like,0.06621295680364621,0.08605336806001872,-0.004465023571127445,0.17551875041771547,,,
price_forecast,,,,,,,,,,,,,,,,10.645615200002794,,,,,,,AR_GARCH,0.0813957652083315,0.11175912339285679,0.007078957579462748,0.24782882901293385,,,
price_forecast,,,,,,,,,,,,,,,,23.17614820000017,,,,,,,Random_Forest,0.04795157124436999,0.06825452248017544,-0.0007133602616918122,0.13569822991071426,,,
price_forecast,,,,,,,,,,,,,,,,7.368318399996497,,,,,,,HistGB_XGB_fallback,0.0432150421878267,0.06051762527310168,-0.002692065731823568,0.11672413146968347,,,
price_forecast,,,,,,,,,,,,,,,,13.648571400000947,,,,,,,Quantile_HistGB_LGBM_fallback,0.053923855549196736,0.07162324352391254,0.03528969667367735,0.14129027572349648,,,
price_forecast,,,,,,,,,,,,,,,,0,,,,,,,causal_ensemble,0.04427998730063131,0.05940964362532567,-0.001794506908084416,0.11931924517684744,,,
price_economic,,,,,,13529597.480424646,1624979.129302242,15154576.609726889,,,,,,77287.74995445249,,,,,,,,,persistence,,,,,,,
price_economic,,,,,,13513492.90929818,1879285.874484809,15392778.783782989,,,,,,75607.02778844723,,,,,,,,,previous_day,,,,,,,
price_economic,,,,,,13506040.788132498,1720884.636498737,15226925.424631234,,,,,,77045.94124210271,,,,,,,,,previous_week_same_time,,,,,,,
price_economic,,,,,,13458605.017106116,1893102.7882802666,15351707.805386381,,,,,,74684.37626188956,,,,,,,,,moving_average_7,,,,,,,
price_economic,,,,,,13481685.950759785,1822268.1339275888,15303954.084687375,,,,,,74150.1171189538,,,,,,,,,exponential_smoothing,,,,,,,
price_economic,,,,,,13481773.401806254,1892392.1262876617,15374165.528093915,,,,,,74829.64961736598,,,,,,,,,ARIMA_curve,,,,,,,
price_economic,,,,,,13497144.589850692,1756261.9168689994,15253406.506719692,,,,,,77632.40410623947,,,,,,,,,SARIMA_curve,,,,,,,
price_economic,,,,,,13487627.010137198,1719368.7875423182,15206995.797679517,,,,,,76676.55831610982,,,,,,,,,Fourier,,,,,,,
price_economic,,,,,,13488894.291835273,1780877.9630689751,15269772.254904248,,,,,,76935.94110833721,,,,,,,,,Fourier_AR,,,,,,,
price_economic,,,,,,13487627.010137198,1719368.7875423182,15206995.797679517,,,,,,76676.55831610982,,,,,,,,,Prophet_like,,,,,,,
price_economic,,,,,,13485395.803572152,1874173.5238086605,15359569.327380812,,,,,,75256.2636788028,,,,,,,,,AR_GARCH,,,,,,,
price_economic,,,,,,13519319.300825205,1666559.460928036,15185878.76175324,,,,,,76469.0914765452,,,,,,,,,Random_Forest,,,,,,,
price_economic,,,,,,13517053.443729714,1642552.1219493314,15159605.565679045,,,,,,74232.84166357561,,,,,,,,,HistGB_XGB_fallback,,,,,,,
price_economic,,,,,,13492218.109585429,1698211.3157369425,15190429.425322372,,,,,,75149.37047188812,,,,,,,,,Quantile_HistGB_LGBM_fallback,,,,,,,
price_economic,,,,,,13466163.633409413,1836627.9068948494,15302791.540304262,,,,,,75868.91976133721,,,,,,,,,causal_ensemble,,,,,,,
availability,,,,,,,,,,,,,,,,,,,,,,,,,,,,XGBoost,failed_import_missing_libomp,HistGradientBoosting squared loss
availability,,,,,,,,,,,,,,,,,,,,,,,,,,,,LightGBM,failed_import_missing_libomp,HistGradientBoosting squared loss
availability,,,,,,,,,,,,,,,,,,,,,,,,,,,,Quantile LightGBM,failed_import_missing_libomp,HistGradientBoosting quantile loss
availability,,,,,,,,,,,,,,,,,,,,,,,,,,,,Prophet,package_not_installed,causal additive trend plus Fourier seasonality
availability,,,,,,,,,,,,,,,,,,,,,,,,,,,,GARCH,AR-GARCH-style tested,AR mean plus EWMA conditional volatility
method_catalog,,,,,,,,,,,,,,,,,,,,,,,,,,,,joint historical block bootstrap,implemented/selected Q4-3,
method_catalog,,,,,,,,,,,,,,,,,,,,,,,,,,,,multivariate Gaussian low-rank,implemented,
method_catalog,,,,,,,,,,,,,,,,,,,,,,,,,,,,Gaussian Copula,implemented,
method_catalog,,,,,,,,,,,,,,,,,,,,,,,,,,,,Vine Copula approximation,implemented; full 288D rejected for sample size,
method_catalog,,,,,,,,,,,,,,,,,,,,,,,,,,,,conditional regime scenario,implemented,
method_catalog,,,,,,,,,,,,,,,,,,,,,,,,,,,,CVaR,9 Q4-2 + 3 Q4-3 settings tested,
