problem,name,scenario,risk_lambda,alpha,plan_cost,emergency_cost,total_cost,emergency_kwh,events,throughput,terminal_soc,violations,daily_q95,daily_max,runtime_s,pv_updates,price_updates,adjustment_cost,adjustment_kwh
Q4-2,CVaR,joint_block,0.02,0.95,13538998.134487713,1622500.0986197763,15161498.233107489,260700.15767314448,401,11916314.323294463,6745.481174289027,0,74226.61282894565,130011.29134879076,44.62705690000439,,,,
Q4-2,CVaR,joint_block,0.1,0.95,13806948.721061474,1266811.491617589,15073760.212679064,208533.78234385882,382,12019549.163601823,6811.2575758775965,0,74949.85188428118,127731.67745557684,38.31836250000197,,,,
Q4-2,CVaR,joint_block,0.3,0.95,14148142.672560653,888675.2320842338,15036817.904644886,150187.89189526188,335,11758631.284665393,6812.8198408935805,0,74781.98297257003,112466.07437645132,49.21951889999764,,,,
Q4-2,CVaR,joint_block,0.02,0.99,13538364.163657278,1622982.7708666394,15161346.934523916,260899.66534424797,401,11916796.275748145,6745.481174289027,0,74226.41271533266,130011.29134879076,42.83330369999749,,,,
Q4-2,CVaR,joint_block,0.1,0.99,13807722.38440258,1264360.1663565508,15072082.550759131,208223.69605661655,382,12017000.836103654,6811.2575758775965,0,74954.44270363764,127731.67745557684,53.64628289999382,,,,
Q4-2,CVaR,joint_block,0.3,0.99,14167194.678016834,872788.5179046629,15039983.195921497,147588.84766496468,331,11757456.039411698,6812.8198408935805,0,74781.98297257003,112466.07437645132,49.933362800002214,,,,
Q4-3,deterministic_dynamic_price,joint_block,0,0.95,13238074.903842578,2812903.559969332,16883288.05706628,538967.8029413035,767,12136755.338329135,6039.955648519751,0,85739.69868795986,99550.34183244841,39.863562500002445,True,True,832309.5932543701,1584735.7310645096
Q4-3,stochastic_dynamic_price,independent,0,0.95,13559471.897453634,416359.22527138254,14502771.36805278,74919.16452431475,348,12143749.31373853,6877.742375055451,0,73032.95803574435,80302.87266570803,130.12711649999983,True,True,526940.2453277638,1478332.300747703
Q4-3,stochastic_dynamic_price,joint_block,0,0.95,13393518.674185647,405886.43312797986,14388024.612782434,73703.79781844225,366,12050300.039112896,6915.571395625099,0,72980.1655066962,82166.88248473287,124.42200620000222,True,True,588619.5054688071,1546375.2688185102
Q4-3,risk_aware_MPC,joint_block,0.02,0.95,13427335.290173382,380640.8434124234,14377768.343217334,68919.87414139559,352,12047599.822248671,6915.5713956251,0,72923.60265411976,82454.86737991647,140.86060250000446,True,True,569792.2096315285,1534723.6392124968
Q4-3,risk_aware_MPC,joint_block,0.1,0.95,13586901.891297292,339376.38888625515,14414371.157958241,60838.95655978461,325,12018904.152022656,6962.120362956357,0,72926.23896030044,82604.55443049232,125.07986949999759,True,True,488092.8777746924,1556601.3599979216
Q4-3,risk_aware_MPC,joint_block,0.3,0.95,13797813.031964993,254315.5640302071,14571504.191956894,46441.432890709846,281,11982774.580275733,6923.835922049088,0,72917.38629941123,77503.71737212845,128.89914309999585,True,True,519375.5959616949,1855849.7255773526
Q4-3,information_ablation,joint_block,0,0.95,13395788.203584462,543136.1058097925,14488502.124008648,98494.4882678602,382,11900436.75163996,6924.1576570154575,0,72418.51302762442,85340.91987321354,135.46936170000117,False,False,549577.8146143928,679834.5290040426
Q4-3,information_ablation,joint_block,0,0.95,13393567.580972284,405945.8187382087,14387152.62966906,73712.28618105131,367,12052874.487838749,6915.571395625099,0,72978.0386170782,82212.78750444316,119.16833230000339,True,False,587639.2299585672,1546399.1783502114
Q4-3,information_ablation,joint_block,0,0.95,13395679.12218308,542746.1689830284,14488671.531761598,98496.74182287467,381,11896715.099683214,6924.183493202103,0,72420.36715383969,85383.06064592302,132.67511360000208,False,True,550246.2405954873,679574.2494377609
Q4-3,information_ablation,joint_block,0,0.95,13393518.674185647,405886.43312797986,14388024.612782434,73703.79781844225,366,12050300.039112896,6915.571395625099,0,72980.1655066962,82166.88248473287,123.25120149999566,True,True,588619.5054688071,1546375.2688185102
