name,updates,strategy,downscale,settlement,continuous,plan_cost,adjustment_cost,emergency_cost,total_cost,emergency_kwh,adjustment_kwh,events,throughput,terminal_soc,violations,runtime_s,event_threshold,status,role
downscale_search,"(0, 6, 12, 18)",stochastic,step,refund50,True,12759197.615458045,492370.3309573075,495331.7058879869,13746899.65230334,87503.70293819155,1390682.853613795,420,12001144.20405385,6853.346369626069,0,570.2257568999994,,,
downscale_search,"(0, 6, 12, 18)",stochastic,pchip,refund50,True,12768260.571209865,478753.9911250594,505456.1343517961,13752470.69668672,89887.4161886083,1381775.7905223956,414,12011022.793756822,6898.484313686523,0,471.10776970000006,,,
downscale_search,"(0, 6, 12, 18)",stochastic,historical_shape,refund50,True,12774056.424639948,480616.1413077112,486180.9136272344,13740853.479574893,86174.22963904242,1383619.820363314,404,12015363.244897284,6800.697420175296,0,324.0378673000014,,,
downscale_search,"(0, 6, 12, 18)",stochastic,linear_mean_preserving,refund50,True,12778764.799373498,484771.04677811736,474512.67559600575,13738048.52174762,84008.4528884476,1406114.9024126956,399,12005411.099458227,6820.147067883057,0,273.23756320000393,,,
event_trigger,"(0, 6, 12, 18)",stochastic,linear,refund50,True,12763311.83801963,478363.2115145333,492144.959911557,13733820.00944572,87504.65654279506,1343583.0851252596,406,12009038.232569402,6804.508718818056,0,505.8531004000033,0,,
event_trigger,"(0, 6, 12, 18)",stochastic,linear,refund50,True,12763371.099692745,478228.2711105881,496819.7123301725,13738419.083133506,88189.55145395387,1333789.0916561093,408,12008880.622896047,6804.508718818056,0,395.66259909999644,100,,
event_trigger,"(0, 6, 12, 18)",stochastic,linear,refund50,True,12764005.356719855,471027.3986549375,518650.85376876884,13753683.60914356,91615.77139315214,1318388.6871187314,412,12005442.796979805,6804.508718818056,0,277.7348173999999,500,,
event_trigger,"(0, 6, 12, 18)",stochastic,linear,refund50,True,12767702.477375792,457117.46657225385,579329.8446288528,13804149.7885769,102865.74849155615,1198258.2915967007,427,11995770.923339121,6804.508718818056,0,296.0476251,2000,,
settlement_sensitivity,"(0, 6, 12, 18)",stochastic,linear,final_net_only,True,12767702.477375792,419515.30601895443,579329.8446288528,13762156.988667436,102865.74849155615,1198258.2915967007,427,11995770.923339121,6804.508718818056,0,296.0476251,2000,,
update_ablation,"(0,)",stochastic,linear,refund50,True,12786511.859418293,0,1928638.5361829095,14715150.395601204,318013.8911578541,0,491,11816108.970190296,6693.96971009077,0,168.69776289999572,,,
update_ablation,"(0, 6)",stochastic,linear,refund50,True,12774361.051675085,339069.97166944173,1027975.3661013397,14141406.389445866,169059.72720586628,825628.5874152669,417,11979891.265653247,6728.072491780257,0,336.5052371999991,,,
update_ablation,"(0, 6, 12)",stochastic,linear,refund50,True,12769654.934721196,337058.276678063,899128.1860988166,14005841.397498077,148891.00747694654,1265195.2969764723,409,12013700.053083146,6804.508718818056,0,334.22557799999777,,,
update_ablation,"(0, 6, 12, 18)",stochastic,linear,refund50,True,12763311.83801963,478363.2115145333,492144.959911557,13733820.00944572,87504.65654279506,1343583.0851252596,406,12009038.232569402,6804.508718818056,0,305.5576599999986,,,
settlement_sensitivity,"(0, 6, 12, 18)",stochastic,linear,final_net_only,True,12763311.83801963,419515.30601895443,492144.959911557,13674972.103950141,87504.65654279506,1343583.0851252596,406,12009038.232569402,6804.508718818056,0,305.5576599999986,,,
method_search,"(0, 6, 12, 18)",deterministic,linear,refund50,True,12548667.630302366,776556.3859536374,2697127.996628075,16022352.012884079,536561.6422422535,1580991.9912996378,742,12220752.078889236,6043.309049216919,0,117.08270499999344,,,
method_search,"(0, 6, 12, 18)",tail_stochastic,linear,refund50,True,13305831.553607382,505729.3929080549,316563.38644684287,14128124.33296228,55917.266919882546,1577730.0561225207,260,11691205.747625789,6885.088014035061,0,498.5567413000026,,,
method_search,"(0, 6, 12, 18)",robust,linear,refund50,True,16189784.694222812,-553384.5163329977,12601.947780858562,15649002.125670673,1897.897683547796,2113292.725624971,22,10423394.157050034,7620.961992609949,0,117.79012359999615,,,
method_search,"(0, 6, 12, 18)",chance,linear,refund50,True,14475358.634491796,-205426.10111516027,84583.76571420014,14354516.299090834,14123.2090444697,1819004.8854572587,122,11320233.36291658,7286.929421350521,0,123.49214209999627,,,
method_search,"(0, 6, 12, 18)",DRO,linear,refund50,True,16180446.040149622,-566434.2168178264,15912.876651410696,15629924.699983206,2435.1392459156777,2204613.852823527,40,10415221.581373643,7660.916397121146,0,94.60230389999924,,,
settlement_sensitivity,"(0, 6, 12, 18)",stochastic,linear,sunk_plus_penalty,True,12761149.810889963,621446.4977712742,475841.74094287783,13858438.049604116,84780.78623695875,579845.0513799263,393,11897478.258808013,6801.396023005799,0,564.898248700003,,,
method_catalog,,no_adjustment,,,,,,,,,,,,,,,,implemented,S0 baseline
method_catalog,,deterministic_reoptimization,,,,,,,,,,,,,,,,implemented,deterministic MPC
method_catalog,,scenario_stochastic_MPC,,,,,,,,,,,,,,,,selected,main model
method_catalog,,multi_stage_scenario_tree,,,,,,,,,,,,,,,,theoretical benchmark,not selected: exponential tree growth
method_catalog,,robust_MPC,,,,,,,,,,,,,,,,implemented,too conservative
method_catalog,,chance_constrained_MPC,,,,,,,,,,,,,,,,implemented approximation,90% residual quantile
method_catalog,,distributionally_robust_MPC,,,,,,,,,,,,,,,,implemented approximation,mean plus 2 sd ambiguity stress
method_catalog,,event_triggered_adjustment,,,,,,,,,,,,,,,,implemented,thresholds 0/100/500/2000 CNY
method_catalog,,approximate_dynamic_programming,,,,,,,,,,,,,,,,theoretical transfer from Q1,not selected: explicit scenario LP handles adjustment prices directly
scenario_catalog,,full_day_residual_block,,,,,,,,,,,,,,,,selected,preserves temporal dependence
