name,updates,strategy,downscale,settlement,continuous,plan_cost,adjustment_cost,emergency_cost,total_cost,emergency_kwh,adjustment_kwh,events,throughput,terminal_soc,violations,runtime_s
method_search,"(0, 6, 12, 18)",deterministic,linear,refund50,True,12548667.630302366,776556.3859536374,2697127.996628075,16022352.012884079,536561.6422422535,1580991.9912996378,742,12220752.078889236,6043.309049216919,0,117.08270499999344
method_search,"(0, 6, 12, 18)",tail_stochastic,linear,refund50,True,13305831.553607382,505729.3929080549,316563.38644684287,14128124.33296228,55917.266919882546,1577730.0561225207,260,11691205.747625789,6885.088014035061,0,498.5567413000026
method_search,"(0, 6, 12, 18)",robust,linear,refund50,True,16189784.694222812,-553384.5163329977,12601.947780858562,15649002.125670673,1897.897683547796,2113292.725624971,22,10423394.157050034,7620.961992609949,0,117.79012359999615
method_search,"(0, 6, 12, 18)",chance,linear,refund50,True,14475358.634491796,-205426.10111516027,84583.76571420014,14354516.299090834,14123.2090444697,1819004.8854572587,122,11320233.36291658,7286.929421350521,0,123.49214209999627
method_search,"(0, 6, 12, 18)",DRO,linear,refund50,True,16180446.040149622,-566434.2168178264,15912.876651410696,15629924.699983206,2435.1392459156777,2204613.852823527,40,10415221.581373643,7660.916397121146,0,94.60230389999924
