method,MAE_kW,RMSE_kW,bias_kW,negative_raw_count,overshoot_raw_count,sunrise_sunset_MAE_kW,n
step,332.2750078027278,591.4332205724686,-74.2051825166334,0,0,88.59475091511638,120240
linear,315.9839549367931,514.9345223553522,-74.20518251663344,0,0,96.41351716376688,120240
cubic,318.8321564900868,518.3979464625353,-71.37221852449396,25986,36,72.18121998616176,120240
pchip,318.19773775499385,519.0779360230312,-74.65006421265771,191,40,67.49836760056121,120240
historical_shape,321.6502589326284,539.1933428092391,-74.2051825166334,0,44,33.38051412199879,120240
linear_mean_preserving,322.51225946282153,529.9016794233806,-74.2051825166334,0,0,68.88861250672205,120240
