issue_hour,group,MAE_kW,RMSE_kW,bias_forecast_minus_actual_kW,n
12,horizon_6,395.6362519178082,497.4373769418541,-395.6362519178082,365
12,horizon_7,106.45136415525114,187.38662617819463,-106.45136415525114,365
12,horizon_8,0.14831410958904107,0.29127127786869633,-0.14831410958904107,365
12,horizon_9,0.0007401826484018265,0.0014879367795607309,-0.0007401826484018265,365
12,horizon_10,0.0,0.0,0.0,365
12,horizon_11,0.0,0.0,0.0,365
12,horizon_12,0.0,0.0,0.0,365
12,horizon_13,0.0,0.0,0.0,364
12,horizon_14,0.0,0.0,0.0,364
12,horizon_15,0.0,0.0,0.0,364
12,horizon_16,0.0007435439560439561,0.001493202700248464,-0.0007435439560439561,364
12,horizon_17,0.3167829212454213,1.0608670807352056,0.0897929945054945,364
12,horizon_18,218.82858525641024,341.570500399347,218.65764523809523,364
12,horizon_19,535.4491395146521,648.4581679288112,532.1452898809524,364
12,horizon_20,803.6046887820511,910.6460897997408,736.273146565934,364
12,horizon_21,876.5331157967034,1054.648563055119,589.6219171703298,364
12,horizon_22,965.1130622252748,1139.9437985322957,397.3965190018315,364
12,horizon_23,1137.8081235347986,1405.1445165022315,92.93767628205126,364
12,horizon_24,1384.4191235347985,1788.4547983214939,-321.8899979853479,364
18,all,393.48813785556325,672.9103058547382,-54.93574997712195,8742
18,daytime,727.0571551151976,914.7156332738336,-101.47588797646728,4731
18,nighttime,0.041361327183578496,0.15319009684874646,-0.041361327183578496,4011
18,horizon_1,106.44759401826484,187.3788334433243,-106.44759401826484,365
18,horizon_2,0.14831410958904107,0.29127127786869633,-0.14831410958904107,365
18,horizon_3,0.0007401826484018265,0.0014879367795607309,-0.0007401826484018265,365
18,horizon_4,0.0,0.0,0.0,365
18,horizon_5,0.0,0.0,0.0,365
18,horizon_6,0.0,0.0,0.0,365
18,horizon_7,0.0,0.0,0.0,364
18,horizon_8,0.0,0.0,0.0,364
18,horizon_9,0.0,0.0,0.0,364
18,horizon_10,0.0007435439560439561,0.001493202700248464,-0.0007435439560439561,364
18,horizon_11,0.3133294413919414,1.0419395501624675,0.08698337912087911,364
18,horizon_12,212.97232838827838,327.3515221976338,212.80138836996335,364
18,horizon_13,520.7783161630036,619.0902560707785,518.2554033424908,364
18,horizon_14,744.4198112179488,826.564841862964,720.8055212912087,364
18,horizon_15,739.2217160714285,874.4051668141757,627.8162638736263,364
18,horizon_16,789.2909938186813,942.964182899382,399.98282119963375,364
18,horizon_17,791.1441905677655,954.9938776746847,130.77675869963366,364
18,horizon_18,830.4644479853479,1046.4774612643096,-77.62306034798536,364
18,horizon_19,915.4276691849816,1154.8861991270032,-366.903897481685,364
18,horizon_20,925.5011061355311,1199.5917493729162,-628.0642657509158,364
18,horizon_21,871.412201510989,1128.2886523398388,-763.0771885073259,364
18,horizon_22,814.5473578296704,975.7855314761911,-801.1949979395604,364
18,horizon_23,782.3035318223442,855.2639089770933,-780.6208873168498,364
18,horizon_24,405.5141368131868,525.04015084985,-405.5141368131868,364
all,winter,273.1327064098094,490.5508071978373,-25.48088252169534,8604
all,spring,381.1140014134209,635.7647890703806,-37.42346239998492,8832
all,summer,389.2793076011473,632.5163667135009,-39.36384836956522,8832
all,autumn,371.3288619333792,640.8447093409426,-26.25600100160256,8736
