name,updates,strategy,downscale,settlement,continuous,plan_cost,adjustment_cost,emergency_cost,total_cost,emergency_kwh,adjustment_kwh,events,throughput,terminal_soc,violations,runtime_s
update_ablation,"(0,)",stochastic,linear,refund50,True,12786511.859418293,0,1928638.5361829095,14715150.395601204,318013.8911578541,0,491,11816108.970190296,6693.96971009077,0,168.69776289999572
update_ablation,"(0, 6)",stochastic,linear,refund50,True,12774361.051675085,339069.97166944173,1027975.3661013397,14141406.389445866,169059.72720586628,825628.5874152669,417,11979891.265653247,6728.072491780257,0,336.5052371999991
update_ablation,"(0, 6, 12)",stochastic,linear,refund50,True,12769654.934721196,337058.276678063,899128.1860988166,14005841.397498077,148891.00747694654,1265195.2969764723,409,12013700.053083146,6804.508718818056,0,334.22557799999777
update_ablation,"(0, 6, 12, 18)",stochastic,linear,refund50,True,12763311.83801963,478363.2115145333,492144.959911557,13733820.00944572,87504.65654279506,1343583.0851252596,406,12009038.232569402,6804.508718818056,0,305.5576599999986
settlement_sensitivity,"(0, 6, 12, 18)",stochastic,linear,final_net_only,True,12763311.83801963,419515.30601895443,492144.959911557,13674972.103950141,87504.65654279506,1343583.0851252596,406,12009038.232569402,6804.508718818056,0,305.5576599999986
