name,updates,strategy,downscale,settlement,continuous,plan_cost,adjustment_cost,emergency_cost,total_cost,emergency_kwh,adjustment_kwh,events,throughput,terminal_soc,violations,runtime_s,event_threshold
event_trigger,"(0, 6, 12, 18)",stochastic,linear,refund50,True,12763311.83801963,478363.2115145333,492144.959911557,13733820.00944572,87504.65654279506,1343583.0851252596,406,12009038.232569402,6804.508718818056,0,505.8531004000033,0
event_trigger,"(0, 6, 12, 18)",stochastic,linear,refund50,True,12763371.099692745,478228.2711105881,496819.7123301725,13738419.083133506,88189.55145395387,1333789.0916561093,408,12008880.622896047,6804.508718818056,0,395.66259909999644,100
event_trigger,"(0, 6, 12, 18)",stochastic,linear,refund50,True,12764005.356719855,471027.3986549375,518650.85376876884,13753683.60914356,91615.77139315214,1318388.6871187314,412,12005442.796979805,6804.508718818056,0,277.7348173999999,500
event_trigger,"(0, 6, 12, 18)",stochastic,linear,refund50,True,12767702.477375792,457117.46657225385,579329.8446288528,13804149.7885769,102865.74849155615,1198258.2915967007,427,11995770.923339121,6804.508718818056,0,296.0476251,2000
settlement_sensitivity,"(0, 6, 12, 18)",stochastic,linear,final_net_only,True,12767702.477375792,419515.30601895443,579329.8446288528,13762156.988667436,102865.74849155615,1198258.2915967007,427,11995770.923339121,6804.508718818056,0,296.0476251,2000
